Exercise Name,Primary Muscle Group,Movement Type,Equipment Used,Archetype Tags,Other Tags
Kettlebell Deadlift,Hamstrings,Compound,Kettlebell,"Nomad, Engine",Hip Dominant
Cable Kickback,Glutes,Isolation,Cable,"Apex, Foundation","Hip Dominant, Glute Isolation"
Ab Wheel Rollout,Core,Stability,Ab Wheel,"Sentinel, Titan",Anti-Extension
Weighted Russian Twist,Core,Rotational,Plate,"Igniter, Apex","Core, Rotation"
Leg Raise on Bench,Core,Flexion,Bodyweight,"Nomad, Foundation","Core, Flexion"
Medicine Ball Chest Pass,Upper Body,Explosive,Medicine Ball,"Prime, Apex","Explosive, Power"
Hurdle Hops,Legs,Explosive,Bodyweight,"Apex, Engine","Explosive, Plyometric"
Depth Jump,Legs,Explosive,Box,"Prime, Apex","Explosive, Advanced"
Band Shoulder Dislocate,Shoulders,Mobility,Band,Sentinel,"Mobility, Shoulder"
Quadruped T-Spine Rotation,T-Spine,Mobility,Bodyweight,Sentinel,"Mobility, Rotation"
Child's Pose,Spine,Mobility,Bodyweight,Foundation,"Mobility, Recovery"
Hill Sprints,Legs,Conditioning,Outdoor,"Engine, Vanguard","Cardio, HIIT"
Farmer’s Carry with Trap Bar,Grip,Conditioning,Trap Bar,"Vanguard, Titan","Carry, Conditioning"
Sled Drag,Full Body,Conditioning,Sled,"Engine, Prime","Conditioning, Strength-Endurance"
Jumping Jacks,Full Body,Conditioning,Bodyweight,"Igniter, Nomad","Cardio, Warm-Up"
Close-Grip Bench Press,Triceps,Compound,Barbell,"Titan, Prime","Horizontal Push, Triceps Focus"
Smith Machine Chest Press,Chest,Compound,Smith Machine,Foundation,Horizontal Push
Military Press,Shoulders,Compound,Barbell,"Titan, Prime",Vertical Push
Seated Dumbbell Press,Shoulders,Compound,Dumbbells,"Foundation, Nomad",Vertical Push
Reverse Fly with Dumbbells,Rear Delts,Isolation,Dumbbells,"Apex, Foundation",Rear Delt Isolation
Cable Row with Rope,Back,Compound,Cable,Foundation,Horizontal Pull
Behind-the-Neck Pulldown,Back,Compound,Cable,"Apex, Titan",Vertical Pull
Single Arm Lat Pulldown,Back,Isolation,Cable,"Nomad, Prime","Vertical Pull, Unilateral"
Barbell Bulgarian Split Squat,Quads,Compound,Barbell,"Prime, Titan","Unilateral, Knee Dominant"
Reverse Lunge,Legs,Compound,Dumbbells,"Nomad, Igniter",Knee Dominant
Hip Extension Machine,Glutes,Isolation,Machine,"Foundation, Sentinel","Hip Dominant, Glute Focus"
Cable Romanian Deadlift,Hamstrings,Compound,Cable,"Nomad, Apex",Hip Dominant
Weighted Plank,Core,Stability,Bodyweight + Weight,"Titan, Sentinel",Anti-Extension
Mountain Climbers,Core,Flexion,Bodyweight,"Igniter, Engine","Core, Cardio"
Suitcase Carry,Core,Stability,Dumbbell,"Vanguard, Foundation",Anti-Lateral Flexion
Power Snatch,Full Body,Explosive,Barbell,"Titan, Prime","Olympic, Explosive"
Burpee Broad Jump,Full Body,Explosive,Bodyweight,"Engine, Igniter","Explosive, Plyometric"
Standing Hamstring Stretch,Hamstrings,Mobility,Bodyweight,Foundation,"Mobility, Flexibility"
Wall Hip Opener,Hips,Mobility,Bodyweight,Sentinel,"Mobility, Rehab"
Wrist Circles,Wrists,Mobility,Bodyweight,Sentinel,"Mobility, Prehab"
Elliptical Machine,Full Body,Conditioning,Elliptical,"Foundation, Nomad",Cardio
Boxing Rounds,Arms,Conditioning,Boxing Gloves,"Igniter, Apex","Conditioning, Coordination"
Jump Squat Tabata,Legs,Conditioning,Bodyweight,"Engine, Igniter","Cardio, Plyometric"
